,ID,Age,Birthdate,Birthdate__precision
450,Afm,24,1999-07-01,1
451,Afm,24,1999-07-01,1
452,Afm,24,1999-07-01,1
453,Afroboi,23,2000-04-13,1
454,Afroboi,23,2000-04-13,1
455,Âfrox,,,
456,Aftermath,,,
457,Afternooon,25,1998-05-22,1
458,afters,,,
459,afters,,,
460,Afting,28,1994-11-21,1
461,Ag0nyPain,,,
462,Ag0nyPain,,,
463,Agaro,21,2001-12-21,1
464,Agent,27,1995-07-29,1
465,Agent,27,1995-07-29,1
466,Agent,27,1995-07-29,1
467,AGENTAS,24,1998-09-29,1
468,Aggress1on,20,2002-11-24,1
469,Aggression,,,
470,Aggression,21,2001-09-10,1
471,Aggression,21,2001-09-10,1
472,Aggression,21,2001-09-10,1
473,Aggro,,,
474,Aggro,,,
475,Aggro,,,
476,Aggro,,,
477,Agile,,,
478,Aglaro,23,1999-12-23,1
479,Aglaro,23,1999-12-23,1
480,AGM,,,
481,AGM,,,
482,Agnar,,,
483,Agnar,,,
484,Agonistic,,,
485,Agonistic,,,
486,agony,,,
487,Agony,29,1993-12-11,1
488,Agony,29,1993-12-11,1
489,Agony,29,1993-12-11,1
490,Agonz,,,
491,Agonz,,,
492,Agonz,,,
493,Agran,23,1999-10-06,1
494,Agran,23,1999-10-06,1
495,Agran,23,1999-10-06,1
496,Agran,23,1999-10-06,1
497,Agran,23,1999-10-06,1
498,Agran,23,1999-10-06,1
499,Agresivee,,,
500,Agresivoo,24,1999-07-09,1
501,Agressiv,,,
502,Agrona,,,
503,Agronar,32,1990-07-30,1
504,Agua,,,
505,Aguerjoe,,,
506,Agurin,27,1995-11-02,1
507,Agustin17,18,2005-03-15,1
508,Agustin17,18,2005-03-15,1
509,AHaHaCiK,24,1999-04-01,1
510,AHaHaCiK,24,1999-04-01,1
511,AHaHaCiK,24,1999-04-01,1
512,Aherusi,,,
513,Ahj,,,
514,AhK,,,
515,Ahn,22,2001-03-15,1
516,Ahn,22,2001-03-15,1
517,Ahn,22,2001-03-15,1
518,Ahnyfar,23,1999-08-16,1
519,Ahria,,,
520,AhWood,,,
521,ahxer,,,
522,Ahzidal,,,
523,Ai,,,
524,Ai,,,
525,Aibax,20,2002-12-06,1
526,Aibreik,23,1999-09-12,1
527,Aiden,,,
528,Aiden,,,
529,Aiden,,,
530,Aiden,26,1996-08-28,1
531,Aiden,26,1996-08-28,1
532,Aiden,26,1996-08-28,1
533,Aihgn,,,
534,Aika,,,
535,Aikei,24,1998-11-06,1
536,AIM4,,,
537,Aimed,,,
538,Aimed,,,
539,Aiming,23,2000-07-20,1
540,Aiming,23,2000-07-20,1
541,Aincardz,,,
542,Aione,26,1997-05-15,1
543,Aioros,,,
544,Aippo,,,
545,Air,,,
546,Air,22,2001-06-07,1
547,Airawn,,,
548,Airdex,,,
549,Airen,,,
550,Airflare,29,1993-11-24,1
551,Airren,21,2001-08-19,1
552,Airren,21,2001-08-19,1
553,Airwaks,28,1994-09-01,1
554,Aissling,26,1997-02-20,1
555,Aisu,22,2001-02-02,1
556,Aisu,22,2001-02-02,1
557,Aithusa,,,
558,Aito,,,
559,Aix,23,1999-09-24,1
560,Aizhon,,,
561,Aizo,23,2000-06-12,1
562,aizuru,,,
563,AJ,,,
564,AJ,,,
565,Ajax,26,1997-06-02,1
566,Ajin,,,
567,Ajwad,23,1999-11-30,1
568,Ajwad,23,1999-11-30,1
569,Ajwad,23,1999-11-30,1
570,Ajwad,23,1999-11-30,1
571,AK,,,
572,AK,,,
573,AK,,,
574,AK,,,
575,Aka,,,
576,AKA973,,,
577,Akaadian,26,1996-12-26,1
578,Akabane,22,2000-10-15,1
579,Akabane,22,2000-10-15,1
580,Akabuff,21,2001-08-25,1
581,Akabuff,21,2001-08-25,1
582,Akainu,21,2001-07-25,1
583,Akalos,25,1998-01-22,1
584,Akalos,25,1998-01-22,1
585,Akaman,23,1999-08-16,1
586,Akaman,23,1999-08-16,1
587,Akaman,23,1999-08-16,1
588,Akaman,23,1999-08-16,1
589,Akame,22,2001-02-22,1
590,Akamezz,,,
591,Akamezz,,,
592,Akano,,,
593,Akashi,,,
594,Akashi,,,
595,Akasi,26,1997-02-02,1
596,Akasi,26,1997-02-02,1
597,Akayso,29,1993-07-24,1
598,Akazan,23,2000-03-01,1
599,Akazan,23,2000-03-01,1
600,Akeelah,,,
601,Akemi,,,
602,Akemi,,,
603,AKEN,22,2001-06-28,1
604,Akeno,24,1998-09-09,1
605,Aki,21,2002-04-29,1
606,Aki,23,2000-04-09,1
607,Aki,23,2000-04-09,1
608,aki,24,1999-04-22,1
609,aki,24,1999-04-22,1
610,aki,24,1999-04-22,1
611,aki,24,1999-04-22,1
612,Akia,23,2000-04-22,1
613,Akiho,,,
614,Akiho,,,
615,Akiles,,,
616,Akilleus,,,
617,Akilord,29,1994-02-20,1
618,Akira,,,
619,Akira,21,2001-09-22,1
620,Akira,21,2001-09-22,1
621,Akira,21,2001-09-22,1
622,Akira,29,1993-09-13,1
623,Akira,29,1993-09-13,1
624,Akira,29,1993-09-13,1
625,Akira Hou,,,
626,Akirei,22,2001-07-02,1
627,Akisann,,,
628,Akisann,,,
629,Akisann,,,
630,Akisann,,,
631,Akkers,,,
632,Akko,,,
633,Akko,,,
634,Aklass,22,2001-06-01,1
635,AkMu,29,1993-09-21,1
636,AkMu,29,1993-09-21,1
637,Akokgt,,,
638,akostas47,,,
639,Akrantor,,,
640,Akre,,,
641,Akre,,,
642,aksin,,,
643,Aku,30,1993-03-03,1
644,Aku,30,1993-03-03,1
645,Akukatt,25,1998-02-11,1
646,Akunma,25,1997-09-07,1
647,Akunma,25,1997-09-07,1
648,Akunma,25,1997-09-07,1
649,Akunma,25,1997-09-07,1
650,Akvender,,,
651,Akyro,,,
652,Aladoric,24,1999-06-25,1
653,Alambrito,,,
654,Alambrito,,,
655,Alambrito,,,
656,Alan,,,
657,Alan,,,
658,Alan,,,
659,Alane,20,2002-08-28,1
660,Alani,,,
661,AlanKing,,,
662,Alann,,,
663,Alann,,,
664,Alanoud,,,
665,AlanQ,28,1994-12-30,1
666,Alaracle,31,1992-06-09,1
667,Alastair,,,
668,Alba,,,
669,Alba,,,
670,Alban,25,1997-09-12,1
671,Alban,25,1997-09-12,1
672,Albert,,,
673,Albi,,,
674,Albis,,,
675,Albis,,,
676,Albis,29,1993-12-19,1
677,Albis,29,1993-12-19,1
678,Albus NoX,,,
679,Alby,22,2000-10-06,1
680,Alby,22,2000-10-06,1
681,Alcaede,,,
682,Alcaffee,29,1993-12-27,1
683,Alcaffee,29,1993-12-27,1
684,Alchemy,27,1995-12-30,1
685,Alchemy,27,1995-12-30,1
686,Alchemy,27,1995-12-30,1
687,Alchemy,27,1995-12-30,1
688,Alderiate,29,1993-10-07,1
689,Aldus,,,
690,Aldwar,,,
691,Ale,21,2001-07-23,1
692,Ale,21,2001-07-23,1
693,Alec,,,
694,Alec,,,
695,Aleks,,,
696,Alemanz,20,2003-04-15,1
697,Alen,,,
698,Aleph,,,
699,Aleph,,,
700,Aleph,,,
701,Alesta,,,
702,Alex,,,
703,Alex,,,
704,Alex,23,2000-01-22,1
705,Alex,23,2000-01-22,1
706,Alex Ich,31,1992-01-31,1
707,Alex Ich,31,1992-01-31,1
708,Alex Mercer,,,
709,Alex Mercer,,,
710,Alex Penn,,,
711,Alex Taylør,23,1999-07-29,1
712,Alex Taylør,23,1999-07-29,1
713,Alex Taylør,23,1999-07-29,1
714,Alexandazar,,,
715,Alexander,,,
716,Alexelcapo,35,1987-10-06,1
717,AlexKiD,,,
718,AlexMetal,,,
719,Alextheman,28,1994-11-26,1
720,Alexx,24,1998-12-10,1
721,Aleykxar,,,
722,Aleykxar,,,
723,Alezi TKO,,,
724,AlezZ D,,,
725,Alfa,23,1999-08-02,1
726,Alfie,,,
727,Alfie,,,
728,Alfred,26,1997-04-22,1
729,Algoria,,,
730,Algos,,,
731,Ali,,,
732,Ali,,,
733,Ali,,,
734,Ali,,,
735,Ali,26,1997-02-23,1
736,Ali,26,1997-02-23,1
737,Ali,26,1997-02-23,1
738,Ali G,,,
739,Ali Kata (KKLVL),22,2000-11-11,1
740,Alibabba,,,
741,Alibye,,,
742,Alicus,31,1992-06-05,1
743,Alielie,20,2002-09-04,1
744,Alien,,,
745,AlienBoy,,,
746,Aliez,,,
747,Aliez,,,
748,Aliez,21,2001-12-28,1
749,Aligan,27,1996-07-16,1
750,Alimo,25,1998-06-14,1
751,Aliop,24,1999-07-08,1
752,Aliplane,20,2003-04-01,1
753,alishor,19,2003-09-22,1
754,Alive,,,
755,Alive,25,1998-02-27,1
756,Alive,25,1998-02-27,1
757,Alix,16,2006-08-14,1
758,alk,30,1992-12-15,1
759,alk,30,1992-12-15,1
760,AlkBattery,,,
761,Allanon,,,
762,alldeady,28,1995-02-01,1
763,Alleex,,,
764,Alleex,,,
765,Alleex,,,
766,Allerz,,,
767,Alleycat,32,1991-04-25,1
768,Alleycat,32,1991-04-25,1
769,Allezs,,,
770,Allezs,,,
771,Alliance,26,1996-09-21,1
772,Allleexxx,,,
773,Allo,20,2003-03-27,1
774,Allo,20,2003-03-27,1
775,Allorim,27,1995-09-05,1
776,Allure,24,1999-03-27,1
777,Almighty,,,
778,Almo,,,
779,Almo,,,
780,Alocs,33,1989-08-16,1
781,Alois,22,2001-02-18,1
782,Alois,22,2001-02-18,1
783,Alonchito,,,
784,Alone,,,
785,Alone,22,2001-05-29,1
786,Alone,22,2001-05-29,1
787,Alone,22,2001-05-29,1
788,Alone,22,2001-05-29,1
789,Alone,25,1998-01-11,1
790,Alone,25,1998-01-11,1
791,Alone,25,1998-01-11,1
792,Alone,25,1998-01-11,1
793,Aloned,23,1999-11-06,1
794,Aloned,23,1999-11-06,1
795,Aloneus,,,
796,Along,,,
797,Along,,,
798,Alonshot,,,
799,Alonshot,,,
800,Alonso,,,
801,AlonsoMondr,,,
802,Aloru,,,
803,Alowhed,24,1998-09-15,1
804,alph,,,
805,ALPHA,,,
806,Alpha Bravo,,,
807,Alphaa,21,2002-02-16,1
808,AlphaCloud,,,
809,AlphaCloud,,,
810,AlphaCloud,,,
811,AlphaCloud,,,
812,Alphamong,24,1998-10-24,1
813,Alphamong,24,1998-10-24,1
814,Alphamong,24,1998-10-24,1
815,Alphari,23,1999-10-20,1
816,Alphen,27,1995-11-25,1
817,Alphen,27,1995-11-25,1
818,Alroquan,,,
819,Alspooks,,,
820,Alspooks,,,
821,AlstonWei1,,,
822,Alt,,,
823,Altair,,,
824,Altar,29,1993-09-01,1
825,Altec,26,1997-05-08,1
826,Altec,26,1997-05-08,1
827,Altec,26,1997-05-08,1
828,Alternative,,,
829,Alternative,,,
830,ALth0r,,,
831,Altheroth,,,
832,altlhro,,,
833,Altrum,26,1997-06-15,1
834,Alu,,,
835,Alucard,,,
836,Alucard,,,
837,Aluka,28,1995-02-12,1
838,Aluka,28,1995-02-12,1
839,Aluka,28,1995-02-12,1
840,Aluka,28,1995-02-12,1
841,Aluka,28,1995-02-12,1
842,Alun,,,
843,Alun,,,
844,Alunesso,,,
845,Alunesso,,,
846,Alunir,33,1989-08-24,1
847,Alushi,,,
848,Alvado,,,
849,Alvado,,,
850,Alvanai,,,
851,Alvaro,,,
852,Alvaro,,,
853,Alvaro,20,2003-07-15,1
854,Alvaro,20,2003-07-15,1
855,ALVEZ,,,
856,Alvik,,,
857,Alvingo,31,1992-06-04,1
858,Alvke,,,
859,Always,,,
860,Aly,,,
861,Aly,,,
862,Aly,,,
863,Alyshow,23,2000-04-24,1
864,Alzephreym,,,
865,Alzephreym,,,
866,Amaath,,,
867,Amades,,,
868,Amami,,,
869,Amarant,23,2000-06-18,1
870,Amarant,23,2000-06-18,1
871,Amarant,23,2000-06-18,1
872,amatr,,,
873,amatr,,,
874,AmaZF,,,
875,Amazing,,,
876,Amazing,,,
877,Amazing,29,1994-04-02,1
878,Amazing,29,1994-04-02,1
879,AmazingJ,25,1997-11-08,1
880,AmazingJ,25,1997-11-08,1
881,AmazingJ,25,1997-11-08,1
882,AMBAN,18,2004-09-03,1
883,AmBev,,,
884,Ambition,,,
885,Ambition,30,1992-10-27,1
886,AMEL,29,1994-05-22,1
887,Amertria,20,2003-01-04,1
888,Amëthyst,22,2000-11-04,1
889,Ametstyle,,,
890,Ametstyle,,,
891,Ametstyle,,,
892,Ametstyle,,,
893,Ametstyle,,,
894,Ametstyle,,,
895,AmExx,,,
896,Ami,,,
897,Ami,,,
898,Amigo Grifo,25,1998-03-02,1
899,Amigo Grifo,25,1998-03-02,1
900,Amigo Grifo,25,1998-03-02,1
901,Amilu,,,
902,Amilu,,,
903,Amin,25,1997-12-10,1
904,Amin,25,1997-12-10,1
905,Aming,,,
906,Aming,,,
907,Amino,25,1997-12-26,1
908,Amiraali,23,2000-06-29,1
909,Amiral,22,2000-11-30,1
910,Amiral,22,2000-11-30,1
911,amirite,,,
912,Amitle,,,
913,Amon,,,
914,AMOUR FAYA,26,1997-05-10,1
915,AMOUR FAYA,26,1997-05-10,1
916,Ampossible,,,
917,Amskilleth,,,
918,AMT,23,2000-06-08,1
919,amt2k,,,
920,amt2k,,,
921,An,28,1994-10-20,1
922,An,28,1994-10-20,1
923,An,28,1994-10-20,1
924,An,28,1994-10-20,1
925,An Ám Ảnk,34,1988-08-17,1
926,An Ám Ảnk,34,1988-08-17,1
927,AnAn,,,
928,AnAn,,,
929,AnAnAs,,,
930,Anarchy,24,1999-01-05,1
931,Anarchy,24,1999-01-05,1
932,Anathar,,,
933,Anatiy,,,
934,Anato,,,
935,Anbé,,,
936,Anbé,,,
937,Anbu,,,
938,Ancafe,,,
939,Anchor,,,
940,Ancrath,,,
941,Ancu,,,
942,AnDa,27,1995-08-03,1
943,AnDa,27,1995-08-03,1
944,Andante,,,
945,ANDARIEL,,,
946,Andathy,,,
947,Andathy,,,
948,Anderu,,,
949,Anderz,,,
950,Andil,20,2002-10-05,1
951,Andil,20,2002-10-05,1
952,Andre,,,
953,Andre,,,
954,Andresu,,,
955,Andresu,,,
956,AndresX,35,1988-07-07,1
957,Andreus,22,2000-10-24,1
958,Andreus,22,2000-10-24,1
959,Andreus,22,2000-10-24,1
960,AndreXD,,,
961,androM,23,2000-03-16,1
962,Androsis,,,
963,Androx,,,
964,Andryale,,,
965,Anduril,,,
966,Andy,24,1998-10-31,1
967,AndyBendy,,,
968,AndyBendy,,,
969,AndyBendy,,,
970,AndyBendy,,,
971,Andyincher,,,
972,Anechek,28,1995-01-03,1
973,Anelace,,,
974,ANG,29,1994-06-30,1
975,ANG,29,1994-06-30,1
976,ANG,29,1994-06-30,1
977,ANG,29,1994-06-30,1
978,ANG,29,1994-06-30,1
979,Angel,,,
980,Angel,22,2000-09-16,1
981,Angel,22,2000-09-16,1
982,Angel,32,1991-04-06,1
983,Angel,32,1991-04-06,1
984,Angelas,,,
985,Anger,,,
986,Angler,,,
987,Angles,,,
988,Angormus,,,
989,Angush,29,1993-08-08,1
990,Ani,,,
991,Ani,,,
992,Ani,,,
993,Anik,,,
994,Animale,26,1997-04-11,1
995,aNimaS,,,
996,Animosity,,,
997,Aniratak,26,1997-02-24,1
998,Anitius,,,
999,Anitta,,,
1000,Anjinho,,,
1001,Anjo,27,1996-01-02,1
1002,Anjo,27,1996-01-02,1
1003,Anka,,,
1004,Ankichi,,,
1005,ankochan,19,2004-03-27,1
1006,Ankor,,,
1007,Ankor,,,
1008,Ankorr,26,1997-06-20,1
1009,Ankorr,26,1997-06-20,1
1010,Ankorr,26,1997-06-20,1
1011,Ankote,25,1997-09-07,1
1012,Ankzu,29,1993-10-04,1
1013,Ann,,,
1014,Annataqui,,,
1015,Annes,26,1996-09-01,1
1016,Annibal,,,
1017,Annie Bot,,,
1018,Annie Bot,,,
1019,Annyeong,,,
1020,Annyeong,,,
1021,Anoker,18,2005-01-02,1
1022,Anonpsycko,28,1994-08-29,1
1023,Anonpsycko,28,1994-08-29,1
1024,Anonpsycko,28,1994-08-29,1
1025,Anonymouss,22,2001-07-19,1
1026,Anran9,,,
1027,Antares,,,
